"규모별","성별","임금계층별","연령",2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
"규모별","성별","임금계층별","연령",근로자수 (명),근로시간 (시간),근로자수 (명),근로시간 (시간),근로자수 (명),근로시간 (시간),근로자수 (명),근로시간 (시간),근로자수 (명),근로시간 (시간),근로자수 (명),근로시간 (시간)
"전규모(5 인 이상)","전체","전체","전체",10353783,180.8,10510220,167.5,10846459,163.6,11061775,176.7,11215215,177.5,11686935,166.0
"1규모(5~9인)","전체","전체","전체",1804820,177.0,1834031,163.6,1939606,159.4,1879878,173.4,1924704,172.7,1928568,160.9
"2규모 (10~29인)","전체","전체","전체",2567514,179.2,2601468,166.1,2698037,162.0,2804374,175.9,2905897,176.6,3002630,165.1
"3규모 (30~99인)","전체","전체","전체",2386391,184.1,2330583,170.2,2428537,165.0,2517498,176.4,2529809,178.7,2658735,167.0
"4규모 (100~299인)","전체","전체","전체",1591201,185.6,1616942,173.6,1632216,168.5,1733349,180.2,1705413,180.8,1765119,170.0
"5규모 (300~499인)","전체","전체","전체",503673,182.9,517332,168.8,540298,163.2,497002,176.9,494151,180.1,530513,171.0
"6규모 (500인 이상)","전체","전체","전체",1500185,177.0,1609864,163.8,1607764,164.4,1629674,178.6,1655241,178.4,1801370,166.2
